ticker,close,date,high,low,month,open,volume,year,day,Daily_Return,Cummulative_return
BAJAJ-AUTO,5016.45,2023-10-03,5073.0,4997.1,10,5065.0,464531,2023,3,0.0,0.0
BAJAJ-AUTO,4918.6,2023-10-04,5019.2,4903.05,10,5011.25,256544,2023,4,-0.019505825833009305,-0.019505825833009305
BAJAJ-AUTO,5011.05,2023-10-05,5039.3,4925.1,10,4935.0,657876,2023,5,0.018795998861464547,-0.0010764584516939069
BAJAJ-AUTO,5014.6,2023-10-06,5120.0,4997.5,10,5120.0,279352,2023,6,0.0007084343600642917,-0.0003687866917839733
BAJAJ-AUTO,5007.3,2023-10-09,5068.7,4957.05,10,4957.05,244083,2023,9,-0.0014557492123000726,-0.0018239990431480058
BAJAJ-AUTO,5037.5,2023-10-10,5064.0,5002.2,10,5007.3,307502,2023,10,0.006031194456094013,0.004196194520029062
BAJAJ-AUTO,5064.4,2023-10-11,5095.0,5050.0,10,5055.0,575680,2023,11,0.0053399503722084685,0.009558552362726624
BAJAJ-AUTO,5106.6,2023-10-12,5151.0,5051.1,10,5085.0,472168,2023,12,0.008332675144143487,0.017970875818557053
BAJAJ-AUTO,5052.4,2023-10-13,5123.45,5040.0,10,5089.95,387366,2023,13,-0.010613715583754457,0.007166422470073375
BAJAJ-AUTO,5076.7,2023-10-16,5099.4,5032.0,10,5035.0,158560,2023,16,0.004809595439791092,0.012010485502696122
BAJAJ-AUTO,5141.25,2023-10-17,5150.0,5070.0,10,5083.0,318565,2023,17,0.0127149526267063,0.02487815088359291
BAJAJ-AUTO,5137.35,2023-10-18,5198.75,5125.65,10,5150.0,360985,2023,18,-0.000758570386579116,0.024100708668480575
BAJAJ-AUTO,5482.6,2023-10-19,5495.0,5245.0,10,5300.0,2838352,2023,19,0.06720390862993564,0.09292427912168955
BAJAJ-AUTO,5489.3,2023-10-20,5510.0,5436.9,10,5450.0,763919,2023,20,0.0012220479334621448,0.09425988497842086
BAJAJ-AUTO,5405.4,2023-10-23,5493.4,5395.05,10,5453.05,451167,2023,23,-0.015284280327182098,0.07753491014562064
